target_media_id,title,items,impressions,selections,selected_after_impression,active_qualified
cmp76xcw602imny01vnsbwwy9,,5673,312,19,18,6
cmp78309r02zoqm01731wmiad,,8673,525,18,18,2
cmp76tnht01zgny01ueqzgv5x,,6424,542,17,17,4
cmp7830yp02zwqm018xe9jso4,,5172,374,17,16,4
cmp78jdaz0b92qm01you32j2y,,1140,132,9,9,3
cmp78ecr308osqm01ni0jvmpz,,1487,90,7,7,4
cmp76ycuv02n0ny01faav3nae,,1660,61,7,7,1
cmp78jepl0b9uqm01xqpi0l2p,,2825,356,5,5,2
cmp78256t02kmqm01iuotw495,,2132,147,5,5,1
cmp781sp002dkqm01afgkh1cz,,5137,54,5,5,1
cmp76uecu0216ny01eel7sonr,,1396,147,4,4,1
cmp78k1bw0bl2qm013yrlxklo,,366,52,4,4,2
cmp784e0403o8qm01961owusn,,568,42,4,4,1
cmp782z0p02z0qm01w47mflhd,,588,35,4,4,2
cmp781rkx02d0qm01g6gba41l,,1831,18,4,4,0
cmp78kvm30bzsqm01agyn63pf,,2613,282,3,3,1
cmp76uvun0236ny0141akqr2x,,833,102,3,3,0
cmp784sji03v6qm01t21d1tgi,,1139,87,3,3,1
cmp783u4m03emqm01e7rcb2ll,,542,68,3,3,2
cmp76zt5402w8ny01d40vgm3l,,1807,64,3,3,1
